time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-18T00:56:07.651Z,-15.7101,-173.7083,76.13,5.1,mb,,48,2.583,1.04,us,us7000fca8,2021-09-18T01:20:11.040Z,"28 km NNE of Hihifo, Tonga",earthquake,8.3,6.4,0.027,460,reviewed,us,us
2021-09-18T00:03:13.875Z,56.6994,-157.0615,40.6,2.8,ml,,,,0.51,ak,ak021bzna93v,2021-09-18T00:45:25.306Z,"92 km SSE of Ugashik, Alaska",earthquake,,11.3,,,automatic,ak,ak
2021-09-17T23:45:30.700Z,37.9279,29.3609,10,4.2,mb,,37,0.846,0.76,us,us7000fca0,2021-09-18T00:21:49.040Z,"20 km NNE of Honaz, Turkey",earthquake,2.3,1.9,0.216,6,reviewed,us,us
2021-09-17T23:33:19.431Z,64.4307,-146.7083,6.7,3.1,ml,,,,0.66,ak,ak021bydmbf5,2021-09-17T23:56:28.039Z,"8 km NW of Harding-Birch Lakes, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2021-09-17T23:15:28.848Z,53.1843,-160.1547,29.36,3.1,ml,,236,1.683,0.7,us,us7000fc9y,2021-09-17T23:36:50.040Z,"240 km S of Sand Point, Alaska",earthquake,8.2,11.3,0.091,16,reviewed,us,us
2021-09-17T23:06:56.154Z,38.155,-117.8905,8,2.9,ml,18,41.33,0.015,0.1375,nn,nn00822654,2021-09-17T23:32:19.040Z,"32 km SE of Mina, Nevada",earthquake,,0.6,0.4,12,reviewed,nn,nn
2021-09-17T22:22:53.164Z,38.5479,73.4276,112.62,4.1,mb,,78,1.571,0.96,us,us7000fc9h,2021-09-17T22:55:05.040Z,"63 km NW of Murghob, Tajikistan",earthquake,6.5,13.7,0.37,2,reviewed,us,us
2021-09-17T22:06:44.414Z,38.5006,73.4455,113.17,4.9,mb,,57,1.611,0.67,us,us7000fc98,2021-09-17T22:20:50.040Z,"58 km NW of Murghob, Tajikistan",earthquake,4,6.9,0.061,84,reviewed,us,us
2021-09-17T21:45:54.160Z,19.2325,-155.394333333333,31.68,2.87,ml,51,143,,0.12,hv,hv72713287,2021-09-17T23:11:57.040Z,"9 km ENE of P?hala, Hawaii",earthquake,0.41,0.53,0.197760641658879,38,reviewed,hv,hv
2021-09-17T20:21:08.981Z,38.1906,141.6615,57.2,4.4,mb,,135,2.636,0.99,us,us7000fc8p,2021-09-17T21:23:51.040Z,"40 km SE of Ishinomaki, Japan",earthquake,7,8,0.124,20,reviewed,us,us
2021-09-17T19:36:06.889Z,48.2348,153.9605,81.58,5,mb,,131,5.426,0.79,us,us7000fc86,2021-09-17T19:54:39.040Z,"Kuril Islands",earthquake,8.2,6.7,0.026,482,reviewed,us,us
2021-09-17T19:12:03.123Z,30.1198,69.3124,31.99,4.7,mb,,119,4.414,0.48,us,us7000fc7z,2021-09-17T21:39:15.465Z,"25 km NNE of Kohlu, Pakistan",earthquake,10.8,6.6,0.063,77,reviewed,us,us
2021-09-17T18:44:57.470Z,-11.1869,162.0632,10,5.3,mww,,32,2.711,0.77,us,us7000fc7y,2021-09-17T19:40:46.040Z,"",earthquake,2.5,1.8,0.071,19,reviewed,us,us
